David Smalley,7975
Bart Campolo,6106
Megan Fox,6062
Susan Gerbic,4845
Vyckie Garrison,4724
Anne Bouleanu,4528
Dave Silverman,4406
Jocelyn Floyd,3384
Phil Vischer,3159
Jerry DeWitt,3152
Sarah Levin,3128
Jerry Coyne,3032
Dan Barker,2972
Ray Comfort,2911
Jeff Lewis,2875
Kira Soltanovich,2859
Paul Provenza,2859
Cathy Lynn Grossman,2849
Nancy French,2786
Eric,2777
Cristin Padgett,2763
Frank Schaeffer,2749
Phil Zuckerman,2709
Luke Fevin,2641
Parisa Tabriz,2621
Max Temkin,2617
Richard Hatch,2611
Ron Miscavige,2578
Jeremy Runnells,2566
Ryan McKnight,2546
Monica Snyder,2542
Fred Clark,2534
Jessica Hagy,2521
Leighann Lord,2499
Kelly Carlin,2459
Matt Dillahunty,2455
Alex J. O'Connor,2438
Dr. Ken Miller,2434
Kate Shellnutt,2395
Stephen Prothero,2365
Sarah Morehead,2349
Marshall Brain,2343
Horus Gilgamesh,2341
Sarah Haider,2337
Rabia Chaudry,2326
Linda LaScola,2324
Attorney David Niose,2316
Brendon Marotta,2315
Ross Blocher,2312
Gerald Posner,2309
Daniel Genis,2302
Shulem Deen,2291
Dr. Keith Devlin,2287
Robyn Blumner,2278
Ryan Cragun,2265
Linda K. Wertheimer,2237
Britt Marie Hermes,2229
Stephanie Drury,2225
Linda Stephens,2217
Ali A. Rizvi,2207
Katherine Stewart,2202
Amy Dickinson,2200
Stephen Mansfield,2199
Steve Wells,2193
Rebecca Hensler,2145
Myq Kaplan,2136
Peter Boghossian,2136
Emma Green,2108
Lucien Greaves,2096
Galen Broaddus,2089
Dianna E. Anderson,2087
Michael De Dora,2079
Liz Cavell,2069
Monica Miller,2066
Juhem Navarro-Rivera,2058
John Dehlin,2056
Evan Clark,2051
Justin Weinstein,2049
Tyler Measom,2049
Seth Andrews,2036
Trevor McKendrick,2015
Barbara Mancini,2014
Lloyd Evans,1993
Dr. Leigh Eric Schmidt,1988
Dr. Steven Tomlins,1981
David Niose,1956
Chris Shelton,1953
Chaz Stevens,1947
Wendy Thomas Russell,1940
Anthony Magnabosco,1928
David Williamson,1928
Dr. Susan Blackmore,1927
Peter Montgomery,1901
Maggie Rowe,1897
Joe Jervis,1882
Sarah Pulliam Bailey,1879
Lyz Liddell,1867
Julia Sweeney,1862
Daniel Dennett,1861
Dr. Karen Garst,1858
Billy Hallowell,1843
Dr. Paul Offit,1836
John W. Loftus,1821
Noelle George,1815
William Shunn,1815
Teresa MacBain,1807
Brad Levin,1805
Pam Mueller,1804
Dr. Wynne LeGrow,1796
Janet Heimlich,1790
Jack Moline,1776
Dr. Elizabeth Drescher,1774
Neil Carter,1771
Jason Heap,1770
Jennifer Michael Hecht,1760
Dr. Daniel Dennett,1759
Leah Vincent,1755
Louis Theroux,1747
Amber Cantorna,1728
Zach Weinersmith,1718
Conor Robinson,1710
Dale McGowan,1688
Hemant,1623
Jessica,1623
Dan Arel,1590
Chrystine Trooien,1565
Camille Beredjick,1563
Karen Stollznow,1554
Maggie Garrett,1550
Jeffrey Tayler,1524
John De Lancie,1498
Katherine Ozment,1470
Phil Torres,1461
Mrs. Betty Bowers,1456
Dr. Elizabeth Loftus,1410
Margaret Downey,1385
Lauren Lane,1376
Rob McWilliams,1362
Dr. Dawn Eden,1323
David Diskin,1067
