John Moltz,108177
Rene Ritchie,97022
Jason Snell,91349
Ben Thompson,90850
Guy English,84439
Marco Arment,75094
Matthew Panzarino,67137
Serenity Caldwell,64100
Merlin Mann,56407
Dan Frommer,55261
John Siracusa,53653
Jim Dalrymple,47228
Joanna Stern,42765
Glenn Fleishman,34545
Craig Federighi,27429
MG Siegler,24180
Paul Kafasis,23090
Dave Wiskus,19416
Adam Lisagor,17241
Craig Hockenberry,15979
Phil Schiller,14309
Ben ‘Bengate’ Thompson,10210
David Sparks,9165
More,8946
Amy Jane Gruber,8946
Mark Gurman,8541
Jason Kottke,8351
Manton Reece,7132
Brent Simmons,7132
Horace Dediu,6986
Scott Simpson,6538
Casey Liss,6538
Nilay Patel,6430
Christa Mrgan,5397
Eddy Cue,3395
